Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1135,,,,0,0.001953125,-1.0546875,-0.00009350414521869214,-0.00022068969476594135,16.845611552485778,0.09234222216778643,0,0,1.5555612045318712,0,0,0,0,0.078125,,
0.05,1135,,,,0,0.00390625,-1.04296875,-0.00009350414521869214,-0.00012483273735873054,16.845036508863846,0.09381629052223601,0,0,1.580338838973243,0,0,0,0,0.078125,,
0.1,1135,,,,0,0.001953125,-1.041015625,-0.00009350414521869214,-0.00012483273735873054,16.844843361731535,0.0931165503134553,0,0,1.5685337044149479,0,0,0,0,0.078125,,
0.15,1135,,,,-0.01171875,0.025390625,-0.9921875,-0.00008788654009653002,-0.00012483273735873054,16.763872982300093,0.14284871729917237,0,0,2.3946977524878195,0,0,0,0,0.078125,,
0.2,1135,,,,-0.01171875,0.00390625,-1,-0.00008788654009653002,-0.00007151721265173078,16.587997445169492,0.2557627581964922,0,0,4.242591979532915,0,0,0,0,0.080078125,,
0.25,1135,,,,-0.01171875,0.09765625,-0.947265625,-0.00014258806116253318,-0.00007151721265173078,16.358287017871476,0.40933449979581094,0,0,6.696011233976728,3.2716170063244467e-7,0.0000048859192316220916,218.59897571591975,0.000010680569394633029,0.0859375,,
0.3,1135,,,,-0.0234375,0.080078125,-1.029296875,-0.00014258806116253318,-0.00007151721265173078,16.0605791153603,0.6001016523503623,1535,0,9.637980064831437,0.022917318746927068,0.23778134622369004,0.003120662300921235,0.000007420352830225695,0.09375,,
0.35000000000000003,1135,,,,0.0234375,-0.0078125,-0.98046875,-0.00014258806116253318,-0.00022707576458853477,15.530258788842795,0.9161897765114299,4622,0,14.228664328914551,0.06900738582645882,0.4849885008969294,0.0032906008808910618,0.000015959035882734715,0.10546875,,
0.4,1135,,,,-0.0625,-0.255859375,-1.111328125,-0.00014258806116253318,-0.00022707576458853477,14.788713467655146,1.3419237141738443,2648,0,19.845325304368547,0.039542068311882256,0.19925129825499946,0.005742637506908036,0.000011442279786592798,0.12890625,,
0.45,1135,,,,0.19921875,-0.38671875,-1.115234375,-0.006200156921232742,-0.00022707576458853477,14.073847916324567,1.7441665487736606,3108,0,24.547134748181193,2.0180317532252525,8.221048093504182,0.00011252338533604262,0.000009250601624915096,0.150390625,,
0.5,1135,,,,-0.13671875,0.04296875,-0.9921875,-0.006200156921232742,-0.0032553871468222694,13.581905020714194,2.0359615901403463,3740,0,27.652236943108424,2.4283745576996183,8.781837659990199,0.0013405622030178384,0.00011772599640021482,0.208984375,,
0.55,1135,,,,-0.0234375,-0.046875,-1.10546875,-0.006200156921232742,-0.0032553871468222694,13.257569281390559,2.2181124005434794,4166,0,29.406778824116703,2.705135634608607,9.19902057545353,0.0012034099529701682,0.0001107019291807814,0.255859375,,
