Type No	40AE mic, PRM426 preamp
Mic. Serial No	63617
PreAmp Serial No	0374
Microphone Manufacturer	G.R.A.S. / LD
Calibration Customer ID	
Calibration ID	ID002
Date & Time	9/28/2020 4:39:52 PM
Data file name	40AE mic, PRM426 preamp0374.txt
Operator	Mark
Barometric Pressure	867.00
Temperatur	23.10
Humidity	3.00

Pistonphone Sound Level [dB]	114																																																				
Pistonphone Frequency [Hz]	250.00
Sens. mV/Pa	45.73
Ideal Sens. mV/Pa	42.00-58.00
Sens. OK?	OK
Sens. dB ref. 1V/Pa	-26.80
Load Cond mV/Pa	45.73
Insert mV	0.00
Insert Ref mV	0.00

Write TEDS OK?	FAIL

Normalizing Frequency [Hz]	250.00
Magnitude Response OK?	OK
FREQ	Mag. Press.	Mag. Corr.	Ideal Mag.	Limit+	Limit-	OK?	
    1	-19.95	-19.95	0.00	30.00	-30.00	OK	
    2	-11.33	-11.33	0.00	30.00	-30.00	OK	
    3	-8.16	-8.16	0.00	30.00	-30.00	OK	
    4	-5.61	-5.61	0.00	30.00	-30.00	OK	
    5	-4.54	-4.54	0.00	30.00	-30.00	OK	
    6	-4.21	-4.21	0.00	30.00	-30.00	OK	
    7	-2.24	-2.24	0.00	30.00	-30.00	OK	
    8	-2.04	-2.04	0.00	30.00	-30.00	OK	
    9	-2.03	-2.03	0.00	30.00	-30.00	OK	
   10	-1.50	-1.50	0.00	30.00	-30.00	OK	
   11	-1.28	-1.28	0.00	30.00	-30.00	OK	
   12	-1.20	-1.20	0.00	30.00	-30.00	OK	
   14	-0.69	-0.69	0.00	30.00	-30.00	OK	
   16	-0.63	-0.63	0.00	30.00	-30.00	OK	
   18	-0.47	-0.47	0.00	30.00	-30.00	OK	
   20	-0.43	-0.43	0.00	30.00	-30.00	OK	
   22	-0.26	-0.26	0.00	2.00	-2.00	OK	
   25	-0.24	-0.24	0.00	1.00	-1.00	OK	
   28	-0.15	-0.15	0.00	1.00	-1.00	OK	
   31	-0.16	-0.16	0.00	1.00	-1.00	OK	
   35	-0.11	-0.11	0.00	1.00	-1.00	OK	
   40	-0.04	-0.04	0.00	1.00	-1.00	OK	
   45	0.00	0.00	0.00	1.00	-1.00	OK	
   50	-0.01	-0.01	0.00	1.00	-1.00	OK	
   56	0.01	0.01	0.00	1.00	-1.00	OK	
   63	-0.01	-0.01	0.00	1.00	-1.00	OK	
   71	0.06	0.06	0.00	1.00	-1.00	OK	
   80	0.04	0.04	0.00	1.00	-1.00	OK	
   89	0.00	0.00	0.00	1.00	-1.00	OK	
  100	0.01	0.01	0.00	1.00	-1.00	OK	
  112	0.03	0.03	0.00	1.00	-1.00	OK	
  125	0.01	0.01	0.00	1.00	-1.00	OK	
  140	0.03	0.03	0.00	1.00	-1.00	OK	
