Type No	40BE mic, 26CB preamp
Mic. Serial No	66670
PreAmp Serial No	61085
Microphone Manufacturer	G.R.A.S.
Calibration Customer ID	
Calibration ID	ID003
Date & Time	9/28/2020 4:56:48 PM
Data file name	40BE mic, 26CB preamp61085.txt
Operator	Mark
Barometric Pressure	867.00
Temperatur	23.10
Humidity	3.00

Pistonphone Sound Level [dB]	114																																																				
Pistonphone Frequency [Hz]	250.00
Sens. mV/Pa	4.24
Ideal Sens. mV/Pa	2.75-5.25
Sens. OK?	OK
Sens. dB ref. 1V/Pa	-47.46
Load Cond mV/Pa	4.24
Insert mV	0.00
Insert Ref mV	0.00

Write TEDS OK?	FAIL

Normalizing Frequency [Hz]	250.00
Magnitude Response OK?	OK
FREQ	Mag. Press.	Mag. Corr.	Ideal Mag.	Limit+	Limit-	OK?	
    1	-21.84	-21.84	0.00	30.00	-30.00	OK	
    2	-12.16	-12.16	0.00	30.00	-30.00	OK	
    3	-8.97	-8.97	0.00	30.00	-30.00	OK	
    4	-6.09	-6.09	0.00	30.00	-30.00	OK	
    5	-4.84	-4.84	0.00	30.00	-30.00	OK	
    6	-3.84	-3.84	0.00	30.00	-30.00	OK	
    7	-3.05	-3.05	0.00	30.00	-30.00	OK	
    8	-2.53	-2.53	0.00	30.00	-30.00	OK	
    9	-2.08	-2.08	0.00	30.00	-30.00	OK	
   10	-1.79	-1.79	0.00	30.00	-30.00	OK	
   11	-1.53	-1.53	0.00	30.00	-30.00	OK	
   12	-1.32	-1.32	0.00	30.00	-30.00	OK	
   14	-0.99	-0.99	0.00	30.00	-30.00	OK	
   16	-0.75	-0.75	0.00	30.00	-30.00	OK	
   18	-0.68	-0.68	0.00	30.00	-30.00	OK	
   20	-0.60	-0.60	0.00	30.00	-30.00	OK	
   22	-0.49	-0.49	0.00	2.00	-2.00	OK	
   25	-0.38	-0.38	0.00	1.00	-1.00	OK	
   28	-0.31	-0.31	0.00	1.00	-1.00	OK	
   31	-0.25	-0.25	0.00	1.00	-1.00	OK	
   35	-0.19	-0.19	0.00	1.00	-1.00	OK	
   40	-0.16	-0.16	0.00	1.00	-1.00	OK	
   45	-0.14	-0.14	0.00	1.00	-1.00	OK	
   50	-0.11	-0.11	0.00	1.00	-1.00	OK	
   56	-0.09	-0.09	0.00	1.00	-1.00	OK	
   63	-0.07	-0.07	0.00	1.00	-1.00	OK	
   71	-0.05	-0.05	0.00	1.00	-1.00	OK	
   80	-0.05	-0.05	0.00	1.00	-1.00	OK	
   89	-0.04	-0.04	0.00	1.00	-1.00	OK	
  100	-0.03	-0.03	0.00	1.00	-1.00	OK	
  112	-0.03	-0.03	0.00	1.00	-1.00	OK	
  125	-0.01	-0.01	0.00	1.00	-1.00	OK	
  140	-0.01	-0.01	0.00	1.00	-1.00	OK	
  160	-0.01	-0.01	0.00	1.00	-1.00	OK	
  180	0.00	0.00	0.00	1.00	-1.00	OK	
  200	-0.01	-0.01	0.00	1.00	-1.00	OK	
  224	0.00	0.00	0.00	1.00	-1.00	OK	
  250	0.00	0.00	0.00	1.00	-1.00	OK	
  280	-0.01	-0.01	0.00	1.00	-1.00	OK	
  315	0.02	0.02	0.00	1.00	-1.00	OK	
  355	-0.01	-0.01	0.00	1.00	-1.00	OK	
  400	-0.01	-0.01	0.00	1.00	-1.00	OK	
  450	-0.02	-0.02	0.00	1.00	-1.00	OK	
  500	-0.02	-0.02	0.00	1.00	-1.00	OK	
  560	-0.03	-0.03	0.00	1.00	-1.00	OK	
  630	-0.04	-0.04	0.00	1.00	-1.00	OK	
  710	-0.06	-0.06	0.00	1.00	-1.00	OK	
  800	-0.08	-0.08	0.00	1.00	-1.00	OK	
  900	-0.10	-0.10	0.00	1.00	-1.00	OK	
 1000	-0.12	-0.09	-0.03	1.00	-1.00	OK	
 1120	-0.14	-0.10	-0.04	1.00	-1.00	OK	
 1250	-0.16	-0.12	-0.04	1.00	-1.00	OK	
 1400	-0.19	-0.14	-0.05	1.00	-1.00	OK	
 1600	-0.22	-0.15	-0.07	1.00	-1.00	OK	
 1800	-0.26	-0.18	-0.08	1.00	-1.00	OK	
 2000	-0.29	-0.20	-0.09	1.00	-1.00	OK	
 2240	-0.32	-0.21	-0.11	1.00	-1.00	OK	
 2500	-0.36	-0.23	-0.12	1.00	-1.00	OK	
 2800	-0.40	-0.25	-0.14	1.00	-1.00	OK	
 3150	-0.44	-0.28	-0.16	1.00	-1.00	OK	
 3550	-0.49	-0.29	-0.20	1.00	-1.00	OK	
 4000	-0.54	-0.31	-0.23	1.00	-1.00	OK	
 4500	-0.62	-0.31	-0.30	1.00	-1.00	OK	
 5000	-0.71	-0.33	-0.37	1.00	-1.00	OK	
 5600	-0.78	-0.32	-0.46	1.00	-1.00	OK	
 6300	-0.88	-0.31	-0.57	1.00	-1.00	OK	
 7100	-1.01	-0.31	-0.69	1.00	-1.00	OK	
 8000	-1.17	-0.31	-0.85	1.00	-1.00	OK	
 9000	-1.35	-0.30	-1.05	1.00	-1.00	OK	
10000	-1.54	-0.30	-1.24	1.00	-1.00	OK	
11200	-1.77	-0.29	-1.48	1.00	-1.00	OK	
12500	-2.05	-0.26	-1.80	1.00	-1.00	OK	
14000	-2.38	-0.19	-2.18	1.00	-1.00	OK	
16000	-2.84	-0.16	-2.68	1.00	-1.00	OK	
18000	-3.29	-0.17	-3.13	1.00	-1.00	OK	
20000	-3.73	0.06	-3.79	1.00	-1.00	OK	
